underlying	surface	root_indices	suffix_indices	word_indices	lip_output	tb_output
b-i	b-i	b_b	i_i	"b_b,i_i"	"5,-2,-2,5,5,5,5,5,5,5"	"10,7,4,4,4,10,10,10,10,10"
b-e	b-e	b_b	e_e	"b_b,e_e"	"5,-2,-2,5,5,5,5,5,5,5"	"10,9,8,8,8,10,10,10,10,10"
b-E	b-E	b_b	E_E	"b_b,E_E"	"5,-2,-2,5,5,5,5,5,5,5"	"10,11,12,12,12,10,10,10,10,10"
b-a	b-a	b_b	a_a	"b_b,a_a"	"5,-2,-2,5,5,5,5,5,5,5"	"10,13,16,16,16,10,10,10,10,10"
b-O	b-O	b_b	O_O	"b_b,O_O"	"5,-2,-2,5,5,5,5,5,5,5"	"10,11,12,12,12,10,10,10,10,10"
b-o	b-o	b_b	o_o	"b_b,o_o"	"5,-2,-2,5,5,5,5,5,5,5"	"10,9,8,8,8,10,10,10,10,10"
b-u	b-u	b_b	u_u	"b_b,u_u"	"5,-2,-2,5,5,5,5,5,5,5"	"10,7,4,4,4,10,10,10,10,10"
g-i	g-i	g_g	i_i	"g_g,i_i"	"5,5,5,5,5,5,5,5,5,5"	"10,-2,-2,1,4,10,10,10,10,10"
g-e	g-e	g_g	e_e	"g_g,e_e"	"5,5,5,5,5,5,5,5,5,5"	"10,-2,-2,3,8,10,10,10,10,10"
g-E	g-E	g_g	E_E	"g_g,E_E"	"5,5,5,5,5,5,5,5,5,5"	"10,-2,-2,5,12,10,10,10,10,10"
g-a	g-a	g_g	a_a	"g_g,a_a"	"5,5,5,5,5,5,5,5,5,5"	"10,-2,-2,7,16,10,10,10,10,10"
g-O	g-O	g_g	O_O	"g_g,O_O"	"5,5,5,5,5,5,5,5,5,5"	"10,-2,-2,5,12,10,10,10,10,10"
g-o	g-o	g_g	o_o	"g_g,o_o"	"5,5,5,5,5,5,5,5,5,5"	"10,-2,-2,3,8,10,10,10,10,10"
g-u	g-u	g_g	u_u	"g_g,u_u"	"5,5,5,5,5,5,5,5,5,5"	"10,-2,-2,1,4,10,10,10,10,10"
ib-i	ib-i	"i_ib,b_ib"	i_i	"i_ib,b_ib,i_i"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,4,4,4,4,10"
ib-e	ib-e	"i_ib,b_ib"	e_e	"i_ib,b_ib,e_e"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,6,8,8,8,10"
ib-E	ib-E	"i_ib,b_ib"	E_E	"i_ib,b_ib,E_E"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,8,12,12,12,10"
ib-a	ib-a	"i_ib,b_ib"	a_a	"i_ib,b_ib,a_a"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,10,16,16,16,10"
ib-O	ib-O	"i_ib,b_ib"	O_O	"i_ib,b_ib,O_O"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,8,12,12,12,10"
ib-o	ib-o	"i_ib,b_ib"	o_o	"i_ib,b_ib,o_o"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,6,8,8,8,10"
ib-u	ib-u	"i_ib,b_ib"	u_u	"i_ib,b_ib,u_u"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,4,4,4,4,10"
ig-i	ig-i	"i_ig,g_ig"	i_i	"i_ig,g_ig,i_i"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,1,4,10"
ig-e	ig-e	"i_ig,g_ig"	e_e	"i_ig,g_ig,e_e"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,3,8,10"
ig-E	ig-E	"i_ig,g_ig"	E_E	"i_ig,g_ig,E_E"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,5,12,10"
ig-a	ig-a	"i_ig,g_ig"	a_a	"i_ig,g_ig,a_a"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,7,16,10"
ig-O	ig-O	"i_ig,g_ig"	O_O	"i_ig,g_ig,O_O"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,5,12,10"
ig-o	ig-o	"i_ig,g_ig"	o_o	"i_ig,g_ig,o_o"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,3,8,10"
ig-u	ig-u	"i_ig,g_ig"	u_u	"i_ig,g_ig,u_u"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,1,4,10"
eb-i	ib-i	"e_eb,b_eb"	i_i	"e_eb,b_eb,i_i"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,4,4,4,4,10"
eb-e	eb-e	"e_eb,b_eb"	e_e	"e_eb,b_eb,e_e"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,8,8,8,8,10"
eb-E	eb-E	"e_eb,b_eb"	E_E	"e_eb,b_eb,E_E"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,10,12,12,12,10"
eb-a	eb-a	"e_eb,b_eb"	a_a	"e_eb,b_eb,a_a"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,12,16,16,16,10"
eb-O	eb-O	"e_eb,b_eb"	O_O	"e_eb,b_eb,O_O"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,10,12,12,12,10"
eb-o	eb-o	"e_eb,b_eb"	o_o	"e_eb,b_eb,o_o"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,8,8,8,8,10"
eb-u	ib-u	"e_eb,b_eb"	u_u	"e_eb,b_eb,u_u"	"5,5,5,5,5,-2,-2,5,5,5"	"10,7,4,4,4,4,4,4,4,10"
eg-i	ig-i	"e_eg,g_eg"	i_i	"e_eg,g_eg,i_i"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,1,4,10"
eg-e	eg-e	"e_eg,g_eg"	e_e	"e_eg,g_eg,e_e"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,3,8,10"
eg-E	eg-E	"e_eg,g_eg"	E_E	"e_eg,g_eg,E_E"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,5,12,10"
eg-a	eg-a	"e_eg,g_eg"	a_a	"e_eg,g_eg,a_a"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,7,16,10"
eg-O	eg-O	"e_eg,g_eg"	O_O	"e_eg,g_eg,O_O"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,5,12,10"
eg-o	eg-o	"e_eg,g_eg"	o_o	"e_eg,g_eg,o_o"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,3,8,10"
eg-u	ig-u	"e_eg,g_eg"	u_u	"e_eg,g_eg,u_u"	"5,5,5,5,5,5,5,5,5,5"	"10,7,4,4,4,-2,-2,1,4,10"
Eb-i	eb-i	"E_Eb,b_Eb"	i_i	"E_Eb,b_Eb,i_i"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,6,4,4,4,10"
Eb-e	Eb-e	"E_Eb,b_Eb"	e_e	"E_Eb,b_Eb,e_e"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,10,8,8,8,10"
Eb-E	Eb-E	"E_Eb,b_Eb"	E_E	"E_Eb,b_Eb,E_E"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,12,12,12,12,10"
Eb-a	Eb-a	"E_Eb,b_Eb"	a_a	"E_Eb,b_Eb,a_a"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,14,16,16,16,10"
Eb-O	Eb-O	"E_Eb,b_Eb"	O_O	"E_Eb,b_Eb,O_O"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,12,12,12,12,10"
Eb-o	Eb-o	"E_Eb,b_Eb"	o_o	"E_Eb,b_Eb,o_o"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,10,8,8,8,10"
Eb-u	eb-u	"E_Eb,b_Eb"	u_u	"E_Eb,b_Eb,u_u"	"5,5,5,5,5,-2,-2,5,5,5"	"10,9,8,8,8,6,4,4,4,10"
Eg-i	eg-i	"E_Eg,g_Eg"	i_i	"E_Eg,g_Eg,i_i"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,1,4,10"
Eg-e	Eg-e	"E_Eg,g_Eg"	e_e	"E_Eg,g_Eg,e_e"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,3,8,10"
Eg-E	Eg-E	"E_Eg,g_Eg"	E_E	"E_Eg,g_Eg,E_E"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,5,12,10"
Eg-a	Eg-a	"E_Eg,g_Eg"	a_a	"E_Eg,g_Eg,a_a"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,7,16,10"
Eg-O	Eg-O	"E_Eg,g_Eg"	O_O	"E_Eg,g_Eg,O_O"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,5,12,10"
Eg-o	Eg-o	"E_Eg,g_Eg"	o_o	"E_Eg,g_Eg,o_o"	"5,5,5,5,5,5,5,5,5,5"	"10,11,12,12,12,-2,-2,3,8,10"
Eg-u	eg-u	"E_Eg,g_Eg"	u_u	"E_Eg,g_Eg,u_u"	"5,5,5,5,5,5,5,5,5,5"	"10,9,8,8,8,-2,-2,1,4,10"
ab-i	Eb-i	"a_ab,b_ab"	i_i	"a_ab,b_ab,i_i"	"5,5,5,5,5,-2,-2,5,5,5"	"10,11,12,12,12,8,4,4,4,10"
ab-e	ab-e	"a_ab,b_ab"	e_e	"a_ab,b_ab,e_e"	"5,5,5,5,5,-2,-2,5,5,5"	"10,13,16,16,16,12,8,8,8,10"
ab-E	ab-E	"a_ab,b_ab"	E_E	"a_ab,b_ab,E_E"	"5,5,5,5,5,-2,-2,5,5,5"	"10,13,16,16,16,14,12,12,12,10"
ab-a	ab-a	"a_ab,b_ab"	a_a	"a_ab,b_ab,a_a"	"5,5,5,5,5,-2,-2,5,5,5"	"10,13,16,16,16,16,16,16,16,10"
